Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
penyakit perut,,,,,sula
penyakit sariawan,,,,,jampi
penyesalan,pangen,,,piangen,
pepasahan,,,,,perpisahan
"pepatah, peribahasa",,,,,"songgan, sesonggan"
pepaya,gedang,,,kates,
pepaya kates,,,,,gedang
"pepek, aurat wanita",teli,,,srira,
"pepet, sentuh",,,,,anteg
perada,,,,,prada
perak,selaka,selaka,selaka,,
perancah diikat untuk membangun,,,,,prantos
perang,siat,"yuda, perang","perang, yuda",,
perang,siat,,,"yuda, rana",
perang mulut,"ieg, maiegan",,,rebat,
perangko,perangko,perangko,perangko,,
"peras, memeras",,,,,"peres, meres"
"peras, memeras",,,,,"peseng, meseng"
perasaan,rasa,rasa,rasa,,
perawakan,"jeeg, jeleg",,,"adeg, pangadeg",
perawat laki-laki,,,,,mantri
perayaan hari jadi,"odal, odalan",,,"tetoyan, patirtan",
perbaiki,pasuhangbenehin,benehin,becikang,,
perbuatan,,,,,karma
percakapan,"paomongan, perembugan",raraosanwicara,babaosanwicara,,
percaya,ngugoninsengguh,ngega,ngeganin,,
percaya,,,,,pracaya
percik,ketis,,,"tabuh, sirat",
percikkan,,,,,kretesin
"percuma, sia-sia",,,,,ngapung
perempatan,pempatan,,,caturmuka,
perempuan,luh,,,"istri, predana",
"perempuan, wanita, cewek","anakluh, eluh",Anak istri,Anak istri,,
"perencanaan, pelaksanaan",,,,,paridabdab
pergelangan,,,,,pagelangan
pergi,luas,lunga,lunga,,
pergi,gdi,,,"tilar, kesah",
pergi,"kaad, makaad",,,"kaon, makaon",
pergi,makalah,,,lunga,
pergi,,,,,uas
pergi berlalu tanpa pamit,,,,,nyrengseng
"pergi, berangkat","makaad, magedi",lunga,langakesah,,
"pergi, pindah",magedi,,,"matilar, kesah, makaon",
"pergi, pindah",makaad,,,"matilar, kesah",
pergiketimur,nganginang,nganginang,ngetan,,
perhatian,rungu,,,"renga, lingu, urati",
perhatian,utun,,,urati,
"perhatian, suka mengatur",,,,,glitik
perhiasan,payasan,,,uperengga,
perhiasan pada daun telinga wanita,,,,,subeng
peribahasa Bali,,,,,"senggak, sesenggakan"
"perigi, sumur",,,,,semer
periksa,turiksa,turiksa,turiksa,,
periksa,preksa,,,tureksa,
perilaku,bikas,,,parisolah,
perilaku,tingkah,,,"sesana, parisolah",
perintah,"pituduh, titah",pangandika,pituduh,,
perintah,uduh,,,titah,
"perintah, suruh",tunden,,,"titah, ndikain",
perintahkan,perintahang,titahang,titahang,,
perisai,,,,,tamiang
periuk,,,,,payuk
periuk,,,,,payuk
periuk besar dari tanah liat,,,,,jun
periuk dari tanah liat,,,,,pangedangan
"perkara, persoalan","perkara, kanda",wikara,wikara,,
perkawinan,pengantenan,pangantenan,pabuncingan,,
perkembangan,aab,,,panglimbak,
perkumpulan ibadah suatu pura,,,,,pamaksan
perlahanlahan,adengadeng,alonalon,alonalon,,
perlengkapan hiasan,,,,,"eteh, eteh-eteh"
perlihatkan,,,,,"edeng, edengang"
perlombaan ,lomba,,,lomba,
perlu,"mabuat, perlu",perlu,perlu,,
perlu,perlu,mabuat,mabuat,,
"perlu, penting","perlu, penting",,,mabuat,
permainan,"plalian, canda, candaan","mainan, pacandaan",pacandaan,,
permandian,kayehan,,,"beji,bejian",
permata,,,,,soca
permata merah,,,,,mirah
"permata, benih",,,,,manik
permintaan,pengidihan,pinunasan,"pinunas, pangelungsur",,
permintaan,pangidih,,,"pangaptin, pinunas",
permisi,kalahin,"pamitin, mapamit",ngelungsurmapamit,,
permisi,tabik,,,sugra,
"permisi, mohon diri",,,,,"pamit, mapamit"
permulaan,"pejumu, kemulan",pengawit,"panembe, awit",,
pernah,taen,naenin,naenin,,
pernah,taen,,,naenan,
persatukan,"besikang, tunggalang",sikiang,tunggilang,,
"persediaan, bekal","sasepelan, persediaan, bekel",bekel,sangu,,
persegi,merepat,merepat,merepat,,
persekutuan keturunan,,,,,dadia
persembahan,aturan,,,punia,
"persembahan, korban suci",,,,,yadnya
"persembahan, sajen","aturan, banten, segehan",aturan,aturansagi,,
persembahkan,aturang,aturang,aturang,,
persetujuan,semaya,sengketa,sengketa,,
persoalan,sukur,,,"indik, paindikan",
pertama,"kapertama, kasa",,,kaping siki,
pertamakali,tumben,nembe,nembe,,
"pertanda, perkiraan",,,,,"tenger, tetenger"
pertapa,,,,,dukuh
pertemuan,patemon,,,pararem,
pertimbangan,petimbanganpatinang,tatimbangan,wicara,,
pertimbangan,,,,,"timbang, tetimbang"
pertolongan,patulung,,,wantuan,
"pertolongan, bantuan",pitulungan,pitulungan,pitulungan,,
perundingan,,,,,wirasa
perut,basang,waduk,"weteng, garba",,
pesan,,,,,besen
"pesan, memesan",,,,,"tempeh, matempah"
pesek,,,,,peset
pesemayaman leluhur,sanggah,,,"merajan, pemrajan",
peserta,paserta,,,pamilet,
pesiar,melali,melancaran,melancaran,,
petani,,,,,"tani, wong tani"
peti besar,,,,,grobag
peti menyimpan wayang,,,,,gedog
"peti, kotak menyimpan barang",,,,,peti
"peti, kotak, boks, dus",petigrobag,kotak,peti,,
petik,"alap, metik",alap,alap,,
petik,,,,,alap
"petik, memetik satu demi satu",,,,,"pikpik, mikpik"
petinggi di kerajaan,,,,,tandamantri
petir,,,,,kilap
petir,,,,,tatit
"petuah, nasihat","tutur, pitutur",,,"baos, piteket",
pidato,pidato,,,pidarta,
pidato,,,,,"darta, pidarta"
pihak,,,,,prakanti
"pihak, memihak",,,,,"ilon, ngilonin"
pijat perut,,,,,limpun
"pijat, memijat",,,,,"uut, nguut"
"pijit, mengepit",,,,,"pecik, mecik"
pikiran,keneh,manah,"kayun, cintia",,
pikiran kacau,,,,,biapara
"pikiran, pendapat",keneh,manah,kayun,,
pikul,"tegen, negen","pikul, nikul",sandang,,
pikul,,,,,"tikul, nikul"
pikulan,sanan,sanan,sanan,,
"pikun, pelupa",,,,,pikun
pilek,,,,,paad
pilih kasih,,,,,ilon-ilon
"pilih, memilih",,,,,"pilih, milih"
"pilih/tunjuk, memilih/menunjuk",,,,,"sudi, nyudi"
"pimpin, memimpin",,,,,"enter, ngenter"
pincang,,,,,perot
pindah,kisid,,,"kesah, gingsir",
"pindah, bergerak",makisid,gingsir,magingsir,,
pinggan besar berkaki,,,,,dulang
pinggul,bokongan,bokongan,wangkong,,
pingin sekali,"aet, ngaet",,,pisereng,
pingsan,pingsan,pingsan,kantum,,
pinjam,"silih, nyilih",nyelang,selang,,
"pinjam, meminjam","silih, nyilih",,,"selang, nyelang",
pinjamkan,silihang,selanggang,paselangan,,
pintar,"duweg, ririh","ririh, wikan",pradnyan,,
pintar dalam agama,,,,,wiku
"pintar, cakap",dueg,,,"wikan, pradnyan, wagmi",
pintu,"jelanan, kuri",pemedal,lawangan,,
pintu,jelanan,,,"kori, duara, lawangan",
pintu,kori,,,lawangan,
Pintu gerbang pura ,,,,,Candi Bentar 
pintu gerbang utama,,,,,paduraksa
pintu keluar rumah,pamesuan,lebuh,pamedalan,,
pintu masuk pura,,,,,kori
pipi,pipi,pipi,pangarasan,,
pipih,,,,,lempeh
piring,piring,pinggan,pinggan,,
piring,,,,,piring
pisah,belas,,,pasah,
pisah,palas,,,pasah,
pisah,,,,,pasah
pisang,biyu,pisang,pisang,,
pisang,biu,,,pisang,
pisang goreng,godoh,,,pisang goreng,
pisau,"tiuk, tiyuk",tiuk,lemat,,
pisau untuk meraut,,,,,pangutik
pitnah,,,,,pisuna
placenta,,,,,ari-ari 
"plester, melester ",,,,,"plester, melester"
pohon,punyan,wit,pohon,,
pohon,punya,,,wit,
pohon,,,,,"puun, puhun, lingseh"
pohon dapdap,,,,,dapdap
pohon kelapa yang muda,,,,,tubuh
pohon padi yang tumbuh lagi,,,,,embong
pokok,"unduk, tepengan",indik,pariindik,,
"pokok, tulang pokok",,,,,"giing, tulang giing"
polos,alep,,,"sadu, darma",
polos,,,,,manuh
porsikan,,,,,tanding
potong,getep,,,tebas,
potong,tugel,,,ereb,
potong,,,,,"tugel, nugel"
Potong gigi,"mesangih, metatah",mapandes,mapandes,,
potong kecil-kecil,,,,,"keet, ngeet"
potong miring,,,,,"temos, nemos"
"potong, memotong",,,,,"getep, ngetep"
"potong, memotong",,,,,"sepeg, nyepeg"
"potong, memotong sebagian di atas",,,,,"punggel, munggel"
potong-potong dengan parang,,,,,"tektek, nektek"
prahu,prau,,,baita,
"predikat, sebutan",,,,,linging lengkara
pucat,coong,coong,"ucem, acum",,
pucat,cong,,,ucem,
pudar,,,,,rered
"puja, memuja","puja, mamuja",,,"siwi, nyiwi",
"puja, memuja",,,,,"sungsung, nyungsung"
puji syukur,,,,,angayubagia
"puji, utamakan",puji,sumbung,utamayang,,
"puji-puji, memuja-muji",,,,,jungjung
pukul,,,,,"ended, endedin"
pukul,,,,,"tigtig, nigtig"
pukul dengan telapak tangan,,,,,"gampok, ngampok"
pukul dengan telapak tangan,,,,,"kaplak, kaplakin"
pukul dengan telapak tangan,,,,,"kemplang, ngemplangin"
"pukul, memukul",,,,,"jagur, nyagur"
"pukul, memukul dengan alat",,,,,"getok, ngetok"
"pukul, memukul dengan telapak tangan",,,,,"panteg, manteg"
pulang,mulih,budal,mantuk,,
pulang pergi ke sana ke mari,,,,,ulang-ulih
pulau,"pulo, nusa","nusa, pulu",pulo,,
"pulau, nusa",nusa,,,"dwipa, pulo",
"puncak, memuncak",,,,,"pucak, muncak"
"puncak, ujung",muncuk,,,"agra, tungtung",
pundatkan kain yang dipakai,,,,,cingcing
punggung,tundun,tundun,"gigir, ungkur",,
"punya, memiliki",ngelah,"derbe, maderbe","drue, madruwe",,
pura,,,,,pura
pura keluarga,sanggah kemulan,,,sanggar kemulan,
pura sawah,,,,,bedugul
"pura, tempat dewa",,,,,kayangan
pura-pura,,,,,mapi-mapi
pura-pura tidak mengenal,,,,,tandruh
purik,puik,,,purik,
pusar,pungsed,udel,puser,,
pusat,pungsed,puser,udel,,
pusat,,,,,puser
pusau,tiuk,,,lemat,
"pusing, mabuk","lengah, pengeng",kelenger,kalenger,,
"pusing, sakit kepala",,,,,pengeng
pusing-pusing,pengeng,,,langu,
"pustaka, kitab, buku",cakepan,,,pustaka,
putar,"piteh, linder",piteh,piteh,,
"putar, berputar ",,,,,"plingser, maplingser "
putaran,"ileh, ilehan",,,puteran,
putih,putih,petak,petak,,
putih,putih,,,petak,
putih,,,,,putih
putus,pegat,,,putung,
putus,,,,,pegat
putus-putus,,,,,tastas
"raba, menyentuh","usud, ngabag",usud,usud,,
"raba, menyentuh dengan tangan",,,,,"usud, ngusud"
"raba, meraba",,,,,"gabag, ngabag"
"raba, meraba",,,,,"gadab, ngadab"
racun,cetik,cetik,cetik,,
racun,cetik,,,wisia,
racun,,,,,tuba
racun tradisional,,,,,cetik
ragi,,,,,ragi
rahang,cadikjagut,cadik,lalentek,,
Rahang kaku,,,,,caket
rahasia,"nyilib, sasiliban",singid,"sasiliban, singid",,
"rahasia, tersembunyi",,,,,"silib, nyilib"
raja,raja,,,"dalem, nata, narendra",
raja,,,,,prabu
rajin,jemet,"anteng, urati",anteng,,
rajin,anteng,,,rajin,
rajin,,,,,jemet
raksasa,raksasa,,,"denawa, detia",
rakus,momo,momo,angkara,,
rakus,rengka,,,angop,
rakus,,,,,ames
rakus,,,,,loba
"rakus, loba, serakah",,,,,"momo,momo angkara"
rakyat,panjak,,,"kaula, wadua",
rakyat,,,,,"kula, kaula"
"rakyat, budak, hamba",,,,,panjak
"rakyat, tentara",bala,,,wadua,
ramai,rame,,,ramia,
"ramal, meramal",,,,,"tenung, nenung"
rambut,bok,bok,rambut,,
rambut,bok,rambut,rambut,,
rambut dipotong habis,,,,,gundul
rambut terurai,,,,,magambahan
rambutan,buluan,,,rambutan,
"rampas, dirampas",,,,,"jarah, kajarah"
ramping,,,,,rengkiang
rampok,,,,,begal
"rampok, rampas","begal, rampok, rampas, jarah",rampok,rampok,,
ramuan,,,,,"ramon, reramon"
"rangkak, merangkak",,,,,"gaang, magaang"
ranjau dari potong - potongan bambu,,,,,sungga
rantai,ante,ante,ante,,
rantai,,,,,rante
"ranting, akar bergantung",,,,,bangsing
ranting-ranting kecil,,,,,"rencek, rerencek"
rapat,"paum, sangkep",,,parum,
rapat,sangkep,,,parum,
rapat,,,,,angsek
rapat,,,,,"kerep, rapet"
rapat,,,,,rapet
"rapat besar, penting",,,,,pesamuhan
"rapat, berapat",sangkep,"mapaum, paum",mapaum,,
"rapat, merapat",,,,,"dangsek, nangsek"
"rapat, rapatkan",,,,,"petpet, metpetin"
rasa,asa,,,rasa,
rasa,rasa,,,wirasa,
"rasa, merasa",,,,,"rasa, marasa"
rasakan,asen,,,rasayang,
rasakan enaknya masakan,,,,,"cicip, cicipin"
rata,asah,,,asat,
rata,rata,,,asat,
Rata dengan tanah ,,,,,Capuh
"rata, datar","asah, dangsah, lempeh, pedel",rata,rata,,
"rata, datar",,,,,dangsah
ratakan,,,,,"sasah, sasahang"
raut,,,,,angsud
raut wajah,semu,semu,semita,,
raut wajah tidak terima,,,,,"kedesem, ngedesem"
rawa-rawa,,,,,geduh
rawat dengan baik,,,,,pretenin
"rayap, merayap",,,,,"grayang, ngrayang"
"rayu, bujuk",,,,,ayuh
rebah,bah,,,rubuh,
rebah-rebah,,,,,balbal
rebus,,,,,lablab
"rebus, merebus","Lablab, mnglablab","Engseb, lablab","Engseb, lablab",,
"rebus, merebus",,,,,"engseb, ngengseb"
"rebut, direbut",,,,,"kembul, kembulina"
"rebut, merebut",,,,,"garang, ngarang"
"rebut, merebut",,,,,"rebut, ngrebut"
"reda, kendor, lemas",,,,,enduk
"rejeki, nafkah",,,,,merta
rekat,,,,,nyangket
rela,lega,,,"lugra, ledang",
"rela, berkenan",,,,,asung
"rela, bersedia, iklas",,,,,lais
"rela, murah hati",lega,lila,sueca,,
"remaja, dewasa",kelih,kelih,"duur, anom",,
"remaja, pemuda",teruna,,,teruni,
"remeh, meremehkan",,,,,"tember, nemberang"
"remuk, hancur",,,,,dekdek
"rencana, merencanakan",,,,,"rincik, ngrincikang"
rendah,"endep, eed",andap,andap,,
rendah,endep,,,andap,
rendahhati,"naros, andapasor",andapasor,naros,,
rendam,emem,,,kerem,
"rendam,merendam",,,,,"mem,ngemem"
renggang,,,,,embang
renggang,,,,,enggang
rentetan upacara,,,,,"pula-pali, pulah-palih"
"resap, meresapi","resep, ngresepang",,,"midep, ngincepang",
resi dari keluarga senggu,,,,,bujangga
resmi,,,,,resmi
retak,,,,,rengat
retak,,,,,siag
"rewel,cerewet",,,,,melid
rezeki,pangupajiwa,pangupajiwa,pangupajiwa,,
ribut,uyut,,,"gurnita, umung",
ribut,,,,,endeh
ribut,,,,,uyut
"ribut, gaduh",uyut,uyut,gumuruh,,
"rindu, teringat",,,,,iseng
ringan,"ingan, angan",dangan,dangan,,
ringan,,,,,"iing, ingan"
ringan,,,,,ingan
ringkas,ringkes,,,tingkes,
"rintangan, alangan","Taweng-taweng, alang",alang,"alang, pialangan",,
rintih,,,,,duuh
rintik – rintik,,,,,ketis-ketis
rintik – rintik,,,,,"kribis, ngeribis"
robek,,,,,uek
robek-robek,,,,,besbes
roda,roda,roda,roda,,
roh yang mendatangkan malapetaka,,,,,pemali
rokok,roko,,,lanjaran,
rotan,,,,,penyalin
roti,roti,ruti,ruti,,
"ruang, 3 ruang",,,,,"rong, rong tiga"
rugi,,,,,pocol
"rugi, kecewa",,,,,kado
"rugi, kerugian","pocol, papocolan",pocol,rugi,,
rujak yang tak berkuah,,,,,lodek
rumah,umah,canggah,"puri, gria, jero",,
rumah,"umah, bale","jeroan, puri","geria, puri",,
rumah kecil darurat,,,,,kubu
rumah sakit,,,,,kamar sakit
rumah tangga,pakurenan,"panyaman, pasemetonan",keluarga,,
rumit,,,,,ruet
"rumpun, serumpun, pohon",,,,,"lingseh,alingseh"
rumput,"lalang, padang","lalang, padang","ambengan, suket",,
rumput,padang,,,trena,
rumput,,,,,padang
rumput untuk menggalakkan rumput,,,,,"kili, kekili"
"rumput yang subur, rimbun",,,,,emeg
rungu,ieng,,,renga,
"rungu, perhatian",ngeh,,,"urati, renga",
rupa,"goba, rupajeneng","rupa, jeneng",warnarupa,,
rupa,goba,,,"rupa, warna, tatwadana",
rupa,"jeneng, goba",,,rupa,
"rupa, bentuk",goba,rupa,warna,,
"rupa, paras",goba,rupa,warna,,
rupanya,"mirip, jenenga","minab, menawi",menawi,,
"rupanya, nampaknya, ruparupanya","jenenga, mirib",minab,menawi,,
rusak,usak,,,rusak,
"rusak, puing","usak, uwung",rusak,rusak,,
"rusak, tidak mempan lagi",,,,,galir
"rusuk, tulang rusuk",,,,,"iga, tulang iga"
"sabda Dewa, wahyu",,,,,pawuwus
sabit,,,,,arit
sabit bersih,,,,,"kelud, ngelud"
sabit yang tangkainya panjang,,,,,madik
sabuk,sabuk,,,pekek. petetet,
sabun,sabun,,,,
sabungan ayam,tajen,,,"klecan, tajen",
sabut kelapa,,,,,sambuk
sah,sah,,,manggeh,
"sahkan, mengesahkan",,,,,"peras, meras"
"sahut, jawab",saut,,,"saur, cawis",
saja,"dogen, tuah, tuwah",kewanten,wantah,,
saja,dogen,,,"kemaon, kemanten, ugi",
saja,"gen, dogen",,,ugi,
sajen kepada arwah leluhur,,,,,punjung
sajian,,,,,"aci, saji"
sajian berbentuk banten,,,,,upakara
sakit,gelem,sinengkaon,sungkan,,
sakit,"gelem, sakit",sungkan,"gerah, sungkan",,
sakit bengkak di bawah telinga,,,,,gendongan
sakit gila,,,,,bebai
sakit hati,sakit keneh,duhkita,sungkan kayun,,
sakit kepala,,,,,puruh
"sakit kepala, pusing","pengeng, puruh, poyok",nyakitang duur,nyakitang prabu,,
sakit perut,,,,,bengka
sakit tulang,,,,,tuju
"sakit, ampuh",meranen,,,sidi,
"sakit, kesakitan, tersiksa",,,,,"gela, kagela-gela"
"sakit, pedih, perih","sakit, ngangah",perih,perih,,
sakitperut,sakitbasang,sungkanwaduk,sungkanwaduk,,
saksi,saksi,saksi,saksi,,
saksi,saksi,,,upasaksi,
"saksikan, menyaksikan",nyaksiang,,,,
sakti,sakti,,,"saged, wisesa",
saku,,,,,kantong
salah,pelih,sisip,iwang,,
salah,pelih,iwang,iwang,,
salah,pelih,,,"iwang, sisip",
salah,salah,,,"salit, iwang",
salah anyaman,saud,,,iwang ngulat,
"salah makan, makanan tersesat",,,,,lenlenan
salah ngomong,saud munyi,,,iwang ngraos,
salah satu,salah sinunggal,,,silih tunggil,
"salah terima, tersinggung",salah tampi,,,"Salitarsa, iwang panampen",
"salin, ganti",salin,,,gentos,
saluran air di sawah,,,,,kakalen
sama,pada,,,pateh,
sama,patuh,,,pateh,
samadengan,patuhteken,patehring,patehring,,
samar,,,,,ngramang
samar,,,,,saru
"samar, suram, pudar",,,,,urem
Samaratakan ,,,,,Caruk
sama-sama,,,,,peturu
sambal,sambel,,,mosa,
"sambar, menyambar",,,,,"sander, nyander"
sambil,sambil,,,"sarwi, sinambi",
sambung,sambung,,,antun,
"sambung ayam, adu ayam",tetajen,kelecen,kelecen,,
"sambung, menyambung",,,,,"sambung, nyambung"
sampah,,,,,"lulu,luu,luhu"
sampah,,,,,"luu,luhu,lulu"
sampah,,,,,"mis,luu,lulu"
sampai,nganteg,,,ngantos,
sampai sekarang,kayang jani,,,kantos mungkin,
"sampai, tiba","teked, kanti","rauh, jantos",tiba,,
"sampai, tiba",teked,,,"kantos, tiba",
sampan,,,,,jukung
sana,ditu,irika,drika,,
sanak saudara,nyamabraya,pasemetonan,,,
"sandar, bersandar",,,,,"sleleg, nyleleg"
"sandar, sandaran untuk memikul",,,,,sanan
"sandung, menyandung",,,,,"tanjung, nanjung"
sangat benar,sumeken,,,sayuakti,
sangat jauh,,,,,sawat
sangat marah,,,,,kroda
sangat pucat,,,,,"lemlem, kembang lemlem"
sangat runcing,,,,,lanying
"sangat, keras",sanget,,,"banget, rahat, dahat",
"sangat, terlalu",bes,,,"dahat, kalintang",
sanggul,pusung,,,gelung,
sanggul,,,,,"pusung, pusungan"
sanggul peranda,prucut,prucut,ketu,,
sanggup,sanggup,,,"sumanggup, sumanggem",
sangka,kaden,sengguh,sengguh,,
"sangka, kira, terka","kaden, tebak",minabang tiang,tarka,,
sangkar,,,,,"guung, guungan"
"sangkut, tersangkut",,,,,"engsut, ngengsut"
santan,,,,,santen
"saos, kuah",kuah,,,,
sapa,"capat, capatin",,,sanggra,
sapaan pada tumin,,,,,bibi
sapaan wanita brahmana,,,,,dayu
sapi,sampi,banteng,banteng,,
sapi,sampi,,,"banteng, lembu",
sapi besar gemuk,,,,,jagiran
sapi jantan,sampi muani,"banteng lanang, jagir",jagir,,
sapu,sampat,sampat,sampat,,
sapu,sampat,,,sapuh,
sapu lidi,,,,,sampat
"sapu, menyapu",nyampatin,nyapuin,,,
sarang,sebun,sebun,sebun,,
"saring, menyaring",,,,,"saring, nyaring"
saringan,saringin,saringin,saringin,,
"saru, menyamar",,,,,"samar, nyamar"
"saru, samar",saru,,,"maya, singid",
sarung,saung,,,urangka,
sasih kedua,,,,,karo
sasih keduabelas,,,,,sada
sasih kesatu,,,,,kasa
sastra sejarah,,,,,babad
"sastra, huruf",,,,,sastra
sate,"sate, sesate",,,jatah,
satu,besik,"siki, adiri","asiki, adiri",,
satu,"abesik, besik",,,"asiki, siki",
satu,besik,,,"siki, tunggil",
satu,sa,,,siki,
satu ekor,"ukud, aukud",,,asiki,
satu ekor,,,,,"ukud, aukud"
satu orang,"ukud, aukug",,,adiri,
"satu warna, baik hati",,,,,polos
"saudagar, pedagang, penjual",dagang,pangadol,pangadol,,
saudara,"kadang, pakadangan",,,semeton,
saudara kandung,tugelan,,,"sodet, sameton ngarep",
saudara saudari,nyama,sameton,sameton,,
saudara tiri,,,,,kualon
sawah,"uma, carik",carik,,,
sawah,uma,,,"carik, bangket, sawah",
sawo,sabo,,,sawo,
saya,icang,titiang,"ira, gelah, nira",,
saya,icang,"titiang,","ira, gelah, nira",,
"saya, aku",tiang,tiang,titiang,,
sayang,sayang,,,"asih,tresna",
sayang,,,,,asih
sayap,kampid,kampid,sayap,,
sayur,jukut,,,jangan,
sayur rebus dipotong dibumbui,,,,,urab
sayursayuran,"jukutjukutan, lakarjukut",janganjanganan,janganjanganan,,
seandainya,saget,,,"prade, pet prade",
sebab,"krana, awinan",awinan,makawinan,,
"sebab, alasan","awanan, keranane",lantaran,awinan,,
"sebab, karena","sawireh, kerana",seantukan,"riantukan, duaning",,
"sebab, menyebabkan","kada, makada",,,"awinan, mahawinan",
"sebab, sehingga",,,,,"awan, awanan"
sebagai saudara,,,,,kumanyama
sebagai seperti,,,,,kuma
"sebagai, bagaikan",satmaka,,,"pinaka, waluya",
sebaya,,,,,"iab, miaban"
sebegini,amone,,,amuniki,
sebelas,,,,,solas
sebelum,satonden,sedurung,sadereng,,
sebelum,banen,,,sadurung,
sebelum,satonden,,,sadurung,
sebentar,endenmalu,mangkindumun,"mangkindumun, jantosajebos",,
sebentar,akejep,,,"ajebos, abosbos",
sebentar,kejep,,,jebos,
sebentar lagi,nyanan,,,malih jebos,
"sebentar, sesaat, sewaktu","akejep, ajahan",ajebos,"ajebos, abosbos",,
seberang,,,,,selat
seberapa,amunapa,,,amunapi,
seberapa,lamun,,,yening,
seberapa,lamunapa,,,lamupani,
sebiji,,,,,abulih
sebut,sambatang,"ucapang, kandikayang",dartayang,,
sebut,sambat,,,"nikaang, carca",
Sebut satu per satu ,,,,,Carca 
sebutan nama urutan kedua,,,,,nengah
sebutan Tuhan/Bhatara,,,,,sanghyang
sebutir,,,,,abungkul
secabang kecil,,,,,arence
secukupnya,asedengan,,,asaksanan,
sedang,"nuju, sedekan",rikalanaing,rikalaning,,
sedang memuncak,,,,,mengpeng
"sedang, cukup, pas",sedeng,,,"sandang, nyandang",
sedap,jaen,jaen,becik,,
"seden, nyeden",,,,,"dekes, madekesan"
sedih,sebet,sedih,"biarapa, sungut",,
sedih,"sedih, duhkita",sungsut,sungsutkayun,,
sedikit,"abedik, agigis, abedik, abidik",akidik,"akidik, kidik",,
sedikit,abedik,,,"akidik, amatra",
sedikit,"bedik, abedik",,,"kedik, kidik, amatra",
seekor,aukud,asiki,asiki,,
seekor,ukudanimals,aukud,aukud,,
segabung bulu di atas ubun-ubun,,,,,jambul
segala sesuatu,sakancan,,,"sahananing, saluir",
"segala, semua",sabatek,,,"sawatek, saluir",
segala-macam,,,,,data-data
segenggam,"agemel, akepel",akepel,akepel,,
segenggam,,,,,akepel
"seharihari, tiaphari","ngawai, sadina, dina","serahina, rahina","nyaberan, rahina",,
sehat,seger,waras,"kenak, rahajeng",,
sehat,seger,seger,kenak,,
sehat,seger,rahayu,kenak,,
"sehat, selamat",rahayu,,,rahajeng,
"sehelai, sebatang",,,,,akatih
sehingga,kanti,jantos,jantos,,
sehingga,"nganti, ngantos",jantos,jantos,,
sehingga,awanan,,,mawinan,
sehingga,sangkala,,,"awinan, mawinan",
seikat kecil,,,,,aampin
sejahtera,bagia,,,raharja,
sejak,"sesukat, duk, uli","daweg, rikala","Saking, daweg, rikala",,
"sejak, semenjak",sekat,,,"sukat, sasukar",
sejenis kali yang kering,,,,,pangkung
sejenis lonceng,genta,,,"bajra, kleneng pedanda",
sejenis mentimun yang pahit,,,,,paya
"sejenis parang, bertangkai agak bengkok",,,,,timpas
sejenis penjor dari kain memanjang,,,,,umbul-umbul
sejenis tas anyaman,,,,,kompek
"sejenis teater, pusat pelatihan seni",,,,,sanggar
sejuh,,,,,tis
sejuk,tis,dayuh,dayuh,,
sejuk,"tis, dayuh",dayuh,teduh,,
"sejuk, segar",,,,,dayuh
sejuring,,,,,ajuring
sekali,acepok,apisan,apisan,,
sekali,"pidan, gati",pisan,pisan,,
sekali,"cepok, acepok",,,"pisan, apisan",
sekali sabungan ayam,,,,,aseet
"sekali, amat, sangat","gati, pesan",,,"pisan, dahat",
"sekali, sangat","pesan, gati",,,pisan,
"sekalian, semuanya",makejang,samipada,sinarengan,,
sekalilagi,buinacepok,malihapisan,malihapisan,,
sekam yang dibakar,,,,,tabun
sekap agar matang,,,,,"sekeb, nyekeb"
sekarang,"jani, nejani","mangkin, jani",pramangkin,,
sekarang,jani,,,mangkin,
"sekat, menyekat",,,,,"seleng, nyeleng"
sekeping,,,,,aketeng
seketika,prajani,,,pramangkin,
sekitar,bantes,,,sawatara,
sekolah,,,,,sekolah
sekretaris,sekretaris,,,penyarikan,
sekurang-kurangnya,sakuang-kuangne,,,sakirang-kirangnyane,
selalu,"setata, tetep","tansah, setuuk, sekayang","tansah, tanmari",,
"selalu ikut, mengikuti",,,,,"itut, ngitut"
selalu membaik,,,,,"lilir, ngalilir"
selamanya,kayang-kayang,,,"seterusa, sauripan",
selamat,selamet,,,"suasi, rahajeng",
"selamat, sehat","rahayu, bagia",rahayu,sadiya,,
selamatkan,rahayuang,rahajengan,,,
selasa,,,,,anggara
selatan,kelod,kelod,elor,,
selatan,kelod,kelod,kidul,,
selatan,kelod,,,"deksina, kidul",
selatan,,,,,kelod
selembar,,,,,abidang
selendang,"ambed, anteng",,,sesenteng,
selendang,anteng,,,selempot,
selesai,pragat,,,puput,
"selesai, akhir, penghabisan",pragat,puput,puput,,
"selesai, berhenti",suud,,,"puput, wusan",
"selesai, habis",pragatsuud,"telas, puput","puput, telas",,
"selesaikan, menyelesaikan",peragatang,puputang,puputang,,
"selesma, pilek, influenza","paad, mapahad",paad,paad,,
selidiki,selidikin,,,selehin,
selidiki,,,,,selehin
selimut,saput,kampuh,kampuh,,
selingkuhan,,,,,mitra
"selip, nyelip",,,,,"engsub, ngengsub"
"semadi, perbuatan",,,,,kerti
semain,ngangsan,,,"sayan, sayan-sayan",
